,experiment,metrics,value,exp_type,effect,ref,target
76,result_PBMC_batch1_batch2_ind_batch2stimulated_107_to_batch1_1598,ARI,0.7357142012173089,PBMC_batch1_batch2_ind,batch|clinical,batch2stimulated_107,batch1_1598
77,result_PBMC_batch1_batch2_ind_batch2stimulated_107_to_batch1_1598,macroF1,0.5353732932795373,PBMC_batch1_batch2_ind,batch|clinical,batch2stimulated_107,batch1_1598
78,result_PBMC_batch2_ind_stimulated_1015_to_control_107,Acc,0.9381044487427466,PBMC_batch2_ind,clinical,batch2stimulated_1015,batch2control_107
79,result_PBMC_batch2_ind_stimulated_1015_to_control_107,ARI,0.8950931117231143,PBMC_batch2_ind,clinical,batch2stimulated_1015,batch2control_107
80,result_PBMC_batch2_ind_stimulated_1015_to_control_107,macroF1,0.8419997276892248,PBMC_batch2_ind,clinical,batch2stimulated_1015,batch2control_107
81,result_PBMC_batch1_batch2_ind_batch2control_1015_to_batch1_1493,Acc,0.9030654515327258,PBMC_batch1_batch2_ind,batch,batch2control_1015,batch1_1493
82,result_PBMC_batch1_batch2_ind_batch2control_1015_to_batch1_1493,ARI,0.8434033575097877,PBMC_batch1_batch2_ind,batch,batch2control_1015,batch1_1493
83,result_PBMC_batch1_batch2_ind_batch2control_1015_to_batch1_1493,macroF1,0.687752877130454,PBMC_batch1_batch2_ind,batch,batch2control_1015,batch1_1493
84,result_PBMC_batch2_ind_stimulated_1488_to_control_1256,Acc,0.9459203036053131,PBMC_batch2_ind,clinical,batch2stimulated_1488,batch2control_1256
85,result_PBMC_batch2_ind_stimulated_1488_to_control_1256,ARI,0.9087911537661152,PBMC_batch2_ind,clinical,batch2stimulated_1488,batch2control_1256
86,result_PBMC_batch2_ind_stimulated_1488_to_control_1256,macroF1,0.8735751057577061,PBMC_batch2_ind,clinical,batch2stimulated_1488,batch2control_1256
87,result_PBMC_batch2_ind_control_1256_to_control_101,Acc,0.9114219114219114,PBMC_batch2_ind,individual,batch2control_1256,batch2control_101
88,result_PBMC_batch2_ind_control_1256_to_control_101,ARI,0.834113673530397,PBMC_batch2_ind,individual,batch2control_1256,batch2control_101
89,result_PBMC_batch2_ind_control_1256_to_control_101,macroF1,0.82288135167391,PBMC_batch2_ind,individual,batch2control_1256,batch2control_101
90,result_PBMC_batch2_ind_control_1015_to_control_101,Acc,0.9370629370629371,PBMC_batch2_ind,individual,batch2control_1015,batch2control_101
91,result_PBMC_batch2_ind_control_1015_to_control_101,ARI,0.8832237496011058,PBMC_batch2_ind,individual,batch2control_1015,batch2control_101
92,result_PBMC_batch2_ind_control_1015_to_control_101,macroF1,0.8676835395181863,PBMC_batch2_ind,individual,batch2control_1015,batch2control_101
93,result_PBMC_batch1_batch2_ind_batch2control_101_to_batch1_1154,Acc,0.7788523533204385,PBMC_batch1_batch2_ind,batch,batch2control_101,batch1_1154
94,result_PBMC_batch1_batch2_ind_batch2control_101_to_batch1_1154,ARI,0.568141411627673,PBMC_batch1_batch2_ind,batch,batch2control_101,batch1_1154
95,result_PBMC_batch1_batch2_ind_batch2control_101_to_batch1_1154,macroF1,0.7977048406322782,PBMC_batch1_batch2_ind,batch,batch2control_101,batch1_1154
96,result_PBMC_batch2_ind_control_1039_to_stimulated_107,Acc,0.8649706457925636,PBMC_batch2_ind,clinical,batch2control_1039,batch2stimulated_107
97,result_PBMC_batch2_ind_control_1039_to_stimulated_107,ARI,0.815271357157708,PBMC_batch2_ind,clinical,batch2control_1039,batch2stimulated_107
98,result_PBMC_batch2_ind_control_1039_to_stimulated_107,macroF1,0.6684425118489492,PBMC_batch2_ind,clinical,batch2control_1039,batch2stimulated_107
99,result_PBMC_batch1_batch2_ind_batch2control_1256_to_batch1_1154,Acc,0.75177304964539,PBMC_batch1_batch2_ind,batch,batch2control_1256,batch1_1154
100,result_PBMC_batch1_batch2_ind_batch2control_1256_to_batch1_1154,ARI,0.5358421642587301,PBMC_batch1_batch2_ind,batch,batch2control_1256,batch1_1154
101,result_PBMC_batch1_batch2_ind_batch2control_1256_to_batch1_1154,macroF1,0.7902274216580825,PBMC_batch1_batch2_ind,batch,batch2control_1256,batch1_1154
102,result_PBMC_batch1_batch2_ind_batch2control_1244_to_batch1_1511,Acc,0.8591470258136925,PBMC_batch1_batch2_ind,batch,batch2control_1244,batch1_1511
103,result_PBMC_batch1_batch2_ind_batch2control_1244_to_batch1_1511,ARI,0.7349283442844475,PBMC_batch1_batch2_ind,batch,batch2control_1244,batch1_1511
104,result_PBMC_batch1_batch2_ind_batch2control_1244_to_batch1_1511,macroF1,0.7736964817525668,PBMC_batch1_batch2_ind,batch,batch2control_1244,batch1_1511
105,result_PBMC_batch2_ind_stimulated_1256_to_control_101,Acc,0.9184149184149184,PBMC_batch2_ind,clinical,batch2stimulated_1256,batch2control_101
106,result_PBMC_batch2_ind_stimulated_1256_to_control_101,ARI,0.8475889450183418,PBMC_batch2_ind,clinical,batch2stimulated_1256,batch2control_101
107,result_PBMC_batch2_ind_stimulated_1256_to_control_101,macroF1,0.8333326421386469,PBMC_batch2_ind,clinical,batch2stimulated_1256,batch2control_101
108,result_PBMC_batch2_ind_control_1015_to_stimulated_1256,Acc,0.938508064516129,PBMC_batch2_ind,clinical,batch2control_1015,batch2stimulated_1256
109,result_PBMC_batch2_ind_control_1015_to_stimulated_1256,ARI,0.9252402407385294,PBMC_batch2_ind,clinical,batch2control_1015,batch2stimulated_1256
110,result_PBMC_batch2_ind_control_1015_to_stimulated_1256,macroF1,0.8129578188955591,PBMC_batch2_ind,clinical,batch2control_1015,batch2stimulated_1256
111,result_PBMC_batch2_ind_control_1016_to_control_1256,Acc,0.9255218216318786,PBMC_batch2_ind,individual,batch2control_1016,batch2control_1256
112,result_PBMC_batch2_ind_control_1016_to_control_1256,ARI,0.869303512280192,PBMC_batch2_ind,individual,batch2control_1016,batch2control_1256
113,result_PBMC_batch2_ind_control_1016_to_control_1256,macroF1,0.7802154116092779,PBMC_batch2_ind,individual,batch2control_1016,batch2control_1256
114,result_PBMC_batch2_ind_stimulated_1488_to_stimulated_107,Acc,0.8708414872798435,PBMC_batch2_ind,individual,batch2stimulated_1488,batch2stimulated_107
115,result_PBMC_batch2_ind_stimulated_1488_to_stimulated_107,ARI,0.7891908850271308,PBMC_batch2_ind,individual,batch2stimulated_1488,batch2stimulated_107
116,result_PBMC_batch2_ind_stimulated_1488_to_stimulated_107,macroF1,0.7300237710903492,PBMC_batch2_ind,individual,batch2stimulated_1488,batch2stimulated_107
117,result_PBMC_batch2_ind_control_101_to_stimulated_101,Acc,0.901595744680851,PBMC_batch2_ind,clinical,batch2control_101,batch2stimulated_101
118,result_PBMC_batch2_ind_control_101_to_stimulated_101,ARI,0.822184853249522,PBMC_batch2_ind,clinical,batch2control_101,batch2stimulated_101
119,result_PBMC_batch2_ind_control_101_to_stimulated_101,macroF1,0.798985902713303,PBMC_batch2_ind,clinical,batch2control_101,batch2stimulated_101
120,result_PBMC_batch1_ind_1511_to_1085,Acc,0.8938723941882502,PBMC_batch1_ind,individual,batch1_1511,batch1_1085
121,result_PBMC_batch1_ind_1511_to_1085,ARI,0.7938451783458896,PBMC_batch1_ind,individual,batch1_1511,batch1_1085
122,result_PBMC_batch1_ind_1511_to_1085,macroF1,0.7380679110100368,PBMC_batch1_ind,individual,batch1_1511,batch1_1085
123,result_PBMC_batch1_ind_1493_to_1249,Acc,0.8759811616954474,PBMC_batch1_ind,individual,batch1_1493,batch1_1249
124,result_PBMC_batch1_ind_1493_to_1249,ARI,0.789326664874257,PBMC_batch1_ind,individual,batch1_1493,batch1_1249
125,result_PBMC_batch1_ind_1493_to_1249,macroF1,0.686324362868159,PBMC_batch1_ind,individual,batch1_1493,batch1_1249
126,result_PBMC_batch1_ind_1079_to_1154,Acc,0.7756286266924565,PBMC_batch1_ind,individual,batch1_1079,batch1_1154
127,result_PBMC_batch1_ind_1079_to_1154,ARI,0.5711223614529446,PBMC_batch1_ind,individual,batch1_1079,batch1_1154
128,result_PBMC_batch1_ind_1079_to_1154,macroF1,0.7067967711487647,PBMC_batch1_ind,individual,batch1_1079,batch1_1154
129,result_PBMC_batch1_ind_1043_to_1079,Acc,0.9464285714285714,PBMC_batch1_ind,individual,batch1_1043,batch1_1079
130,result_PBMC_batch1_ind_1043_to_1079,ARI,0.9052572477203482,PBMC_batch1_ind,individual,batch1_1043,batch1_1079
131,result_PBMC_batch1_ind_1043_to_1079,macroF1,0.8767943226084702,PBMC_batch1_ind,individual,batch1_1043,batch1_1079
132,result_PBMC_batch2_ind_stimulated_1016_to_control_1244,Acc,0.8291644491750931,PBMC_batch2_ind,clinical,batch2stimulated_1016,batch2control_1244
133,result_PBMC_batch2_ind_stimulated_1016_to_control_1244,ARI,0.6930425392034248,PBMC_batch2_ind,clinical,batch2stimulated_1016,batch2control_1244
134,result_PBMC_batch2_ind_stimulated_1016_to_control_1244,macroF1,0.6872179608489775,PBMC_batch2_ind,clinical,batch2stimulated_1016,batch2control_1244
135,result_PBMC_batch2_ind_stimulated_101_to_control_101,Acc,0.9324009324009324,PBMC_batch2_ind,clinical,batch2stimulated_101,batch2control_101
136,result_PBMC_batch2_ind_stimulated_101_to_control_101,ARI,0.8864917447789861,PBMC_batch2_ind,clinical,batch2stimulated_101,batch2control_101
137,result_PBMC_batch2_ind_stimulated_101_to_control_101,macroF1,0.8289422700057204,PBMC_batch2_ind,clinical,batch2stimulated_101,batch2control_101
138,result_PBMC_batch2_ind_stimulated_1244_to_control_101,Acc,0.8717948717948718,PBMC_batch2_ind,clinical,batch2stimulated_1244,batch2control_101
139,result_PBMC_batch2_ind_stimulated_1244_to_control_101,ARI,0.7629492703734797,PBMC_batch2_ind,clinical,batch2stimulated_1244,batch2control_101
140,result_PBMC_batch2_ind_stimulated_1244_to_control_101,macroF1,0.7689414668133112,PBMC_batch2_ind,clinical,batch2stimulated_1244,batch2control_101
141,result_PBMC_batch1_batch2_ind_batch2control_1256_to_batch1_1085,Acc,0.9102969046114971,PBMC_batch1_batch2_ind,batch,batch2control_1256,batch1_1085
142,result_PBMC_batch1_batch2_ind_batch2control_1256_to_batch1_1085,ARI,0.8565290933630058,PBMC_batch1_batch2_ind,batch,batch2control_1256,batch1_1085
143,result_PBMC_batch1_batch2_ind_batch2control_1256_to_batch1_1085,macroF1,0.8093187000189168,PBMC_batch1_batch2_ind,batch,batch2control_1256,batch1_1085
144,result_PBMC_batch2_ind_control_1488_to_stimulated_1039,Acc,0.8282504012841091,PBMC_batch2_ind,clinical,batch2control_1488,batch2stimulated_1039
145,result_PBMC_batch2_ind_control_1488_to_stimulated_1039,ARI,0.6603809146899048,PBMC_batch2_ind,clinical,batch2control_1488,batch2stimulated_1039
146,result_PBMC_batch2_ind_control_1488_to_stimulated_1039,macroF1,0.6815339907581235,PBMC_batch2_ind,clinical,batch2control_1488,batch2stimulated_1039
147,result_PBMC_batch1_batch2_ind_batch1_1079_to_batch2stimulated_101,Acc,0.8714539007092199,PBMC_batch1_batch2_ind,batch|clinical,batch1_1079,batch2stimulated_101
148,result_PBMC_batch1_batch2_ind_batch1_1079_to_batch2stimulated_101,ARI,0.7700713155658444,PBMC_batch1_batch2_ind,batch|clinical,batch1_1079,batch2stimulated_101
149,result_PBMC_batch1_batch2_ind_batch1_1079_to_batch2stimulated_101,macroF1,0.7565349894944702,PBMC_batch1_batch2_ind,batch|clinical,batch1_1079,batch2stimulated_101
150,result_PBMC_batch2_ind_control_1016_to_control_107,Acc,0.8897485493230174,PBMC_batch2_ind,individual,batch2control_1016,batch2control_107
151,result_PBMC_batch2_ind_control_1016_to_control_107,ARI,0.8254364459613516,PBMC_batch2_ind,individual,batch2control_1016,batch2control_107
152,result_PBMC_batch2_ind_control_1016_to_control_107,macroF1,0.7839189420548928,PBMC_batch2_ind,individual,batch2control_1016,batch2control_107
153,result_PBMC_batch2_ind_control_1256_to_stimulated_107,Acc,0.9295499021526419,PBMC_batch2_ind,clinical,batch2control_1256,batch2stimulated_107
154,result_PBMC_batch2_ind_control_1256_to_stimulated_107,ARI,0.8877572375948242,PBMC_batch2_ind,clinical,batch2control_1256,batch2stimulated_107
155,result_PBMC_batch2_ind_control_1256_to_stimulated_107,macroF1,0.8048270147006006,PBMC_batch2_ind,clinical,batch2control_1256,batch2stimulated_107
156,result_PBMC_batch1_ind_1598_to_1154,Acc,0.7898130238555771,PBMC_batch1_ind,individual,batch1_1598,batch1_1154
157,result_PBMC_batch1_ind_1598_to_1154,ARI,0.581206657289585,PBMC_batch1_ind,individual,batch1_1598,batch1_1154
158,result_PBMC_batch1_ind_1598_to_1154,macroF1,0.8130331197848539,PBMC_batch1_ind,individual,batch1_1598,batch1_1154
159,result_PBMC_batch1_batch2_ind_batch2stimulated_1256_to_batch1_1043,Acc,0.8866103739445115,PBMC_batch1_batch2_ind,batch|clinical,batch2stimulated_1256,batch1_1043
160,result_PBMC_batch1_batch2_ind_batch2stimulated_1256_to_batch1_1043,ARI,0.8294133767064795,PBMC_batch1_batch2_ind,batch|clinical,batch2stimulated_1256,batch1_1043
161,result_PBMC_batch1_batch2_ind_batch2stimulated_1256_to_batch1_1043,macroF1,0.6634582933152509,PBMC_batch1_batch2_ind,batch|clinical,batch2stimulated_1256,batch1_1043
162,result_PBMC_batch1_batch2_ind_batch2stimulated_1244_to_batch1_1154,Acc,0.6511927788523533,PBMC_batch1_batch2_ind,batch|clinical,batch2stimulated_1244,batch1_1154
163,result_PBMC_batch1_batch2_ind_batch2stimulated_1244_to_batch1_1154,ARI,0.5046171054815014,PBMC_batch1_batch2_ind,batch|clinical,batch2stimulated_1244,batch1_1154
164,result_PBMC_batch1_batch2_ind_batch2stimulated_1244_to_batch1_1154,macroF1,0.6559670040330735,PBMC_batch1_batch2_ind,batch|clinical,batch2stimulated_1244,batch1_1154
165,result_PBMC_batch1_batch2_ind_batch2stimulated_1016_to_batch1_1154,Acc,0.8355899419729207,PBMC_batch1_batch2_ind,batch|clinical,batch2stimulated_1016,batch1_1154
166,result_PBMC_batch1_batch2_ind_batch2stimulated_1016_to_batch1_1154,ARI,0.6565595597635598,PBMC_batch1_batch2_ind,batch|clinical,batch2stimulated_1016,batch1_1154
167,result_PBMC_batch1_batch2_ind_batch2stimulated_1016_to_batch1_1154,macroF1,0.8209457109998294,PBMC_batch1_batch2_ind,batch|clinical,batch2stimulated_1016,batch1_1154
168,result_PBMC_batch1_ind_1598_to_1085,Acc,0.9260897030953885,PBMC_batch1_ind,individual,batch1_1598,batch1_1085
169,result_PBMC_batch1_ind_1598_to_1085,ARI,0.8464521551428817,PBMC_batch1_ind,individual,batch1_1598,batch1_1085
170,result_PBMC_batch1_ind_1598_to_1085,macroF1,0.8662404867410776,PBMC_batch1_ind,individual,batch1_1598,batch1_1085
171,result_PBMC_batch2_ind_control_107_to_stimulated_1015,Acc,0.8775599128540305,PBMC_batch2_ind,clinical,batch2control_107,batch2stimulated_1015
172,result_PBMC_batch2_ind_control_107_to_stimulated_1015,ARI,0.7990802999894713,PBMC_batch2_ind,clinical,batch2control_107,batch2stimulated_1015
173,result_PBMC_batch2_ind_control_107_to_stimulated_1015,macroF1,0.6776912155982353,PBMC_batch2_ind,clinical,batch2control_107,batch2stimulated_1015
